=====================================================================
testing with 1024 points.

> created 1024 random points in 0.000061 seconds.
> created a mtree with 1024 random points in 30.110129 seconds with height 3.
> found 1/1024 points with Q:(0.950963, 0.036178) and r=0.02 | I/O = 7 | in 0.000042 seconds.
> found 4/1024 points with Q:(0.130378, 0.863546) and r=0.02 | I/O = 8 | in 0.000006 seconds.
> found 0/1024 points with Q:(0.224688, 0.348685) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.964265, 0.579025) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.159907, 0.329484) and r=0.02 | I/O = 8 | in 0.000005 seconds.
> found 1/1024 points with Q:(0.852841, 0.847742) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.345806, 0.195385) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 3/1024 points with Q:(0.917482, 0.529274) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.536593, 0.241469) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.770915, 0.213973) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 2/1024 points with Q:(0.0693527, 0.026383) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.523492, 0.546014) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.129162, 0.335844) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 0/1024 points with Q:(0.99403, 0.94351) and r=0.02 | I/O = 7 | in 0.000004 seconds.
> found 6/1024 points with Q:(0.991255, 0.73567) and r=0.02 | I/O = 8 | in 0.000004 seconds.
> found 1/1024 points with Q:(0.771848, 0.727105) and r=0.02 | I/O = 8 | in 0.000004 seconds.

avg percentage of points found: 0.134766% | avg I/O: 7.94


> main finished after 30.110753 seconds
