=====================================================================
testing with 8192 points.

> created 8192 random points in 0.000464 seconds.
> created a mtree with 8192 random points in 2.277179 hours | (136.630738 minutes) with height 3.
> found 8/8192 points with Q:(0.761961, 0.113408) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 8/8192 points with Q:(0.426369, 0.0672407) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 9/8192 points with Q:(0.189579, 0.417806) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 13/8192 points with Q:(0.968606, 0.404811) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 12/8192 points with Q:(0.41934, 0.391765) and r=0.02 | I/O = 50 | in 0.000032 seconds.
> found 10/8192 points with Q:(0.42615, 0.185766) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 7/8192 points with Q:(0.362616, 0.0273644) and r=0.02 | I/O = 49 | in 0.000030 seconds.
> found 6/8192 points with Q:(0.532023, 0.952453) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 8/8192 points with Q:(0.0699787, 0.297572) and r=0.02 | I/O = 49 | in 0.000028 seconds.
> found 7/8192 points with Q:(0.335321, 0.142109) and r=0.02 | I/O = 50 | in 0.000030 seconds.
> found 6/8192 points with Q:(0.0623478, 0.723724) and r=0.02 | I/O = 50 | in 0.000028 seconds.
> found 11/8192 points with Q:(0.650903, 0.616404) and r=0.02 | I/O = 50 | in 0.000030 seconds.

avg percentage of points found: 0.122803% | avg I/O: 49.79


> main finished after 2.277180 hours | (136.630800 minutes)
